Datum;Ferien
20.07.2019;1
21.07.2019;1
22.07.2019;1
23.07.2019;1
24.07.2019;1
25.07.2019;1
26.07.2019;1
27.07.2019;1
28.07.2019;1
29.07.2019;1
30.07.2019;1
31.07.2019;1
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
