pas_faehrverkehr_absolut,pas_ausflugsverkehr_absolut,pas_kreuzfahrt_absolut,Datum
4319.775342465753,153.34520547945206,995.8246575342466,2013-10-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-10-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-10-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-10-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-10-31
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-11-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-01
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-02
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-03
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-04
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-05
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-06
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-07
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-08
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-09
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-10
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-11
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-12
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-13
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-14
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-15
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-16
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-17
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-18
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-19
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-20
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-21
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-22
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-23
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-24
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-25
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-26
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-27
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-28
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-29
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-30
4319.775342465753,153.34520547945206,995.8246575342466,2013-12-31
4448.605479452055,159.21917808219177,970.0,2014-01-01
4448.605479452055,159.21917808219177,970.0,2014-01-02
