Datum,avg_Ankuenfte_ins_absolut,avg_uebernachtungen_ins_absolut
2016-10-18,924.9677419354839,1837.8709677419354
2016-10-19,924.9677419354839,1837.8709677419354
2016-10-20,924.9677419354839,1837.8709677419354
2016-10-21,924.9677419354839,1837.8709677419354
2016-10-22,924.9677419354839,1837.8709677419354
2016-10-23,924.9677419354839,1837.8709677419354
2016-10-24,924.9677419354839,1837.8709677419354
2016-10-25,924.9677419354839,1837.8709677419354
2016-10-26,924.9677419354839,1837.8709677419354
2016-10-27,924.9677419354839,1837.8709677419354
2016-10-28,924.9677419354839,1837.8709677419354
2016-10-29,924.9677419354839,1837.8709677419354
2016-10-30,924.9677419354839,1837.8709677419354
2016-10-31,924.9677419354839,1837.8709677419354
2016-11-01,858.1666666666666,1586.7
2016-11-02,858.1666666666666,1586.7
2016-11-03,858.1666666666666,1586.7
2016-11-04,858.1666666666666,1586.7
2016-11-05,858.1666666666666,1586.7
2016-11-06,858.1666666666666,1586.7
2016-11-07,858.1666666666666,1586.7
2016-11-08,858.1666666666666,1586.7
2016-11-09,858.1666666666666,1586.7
2016-11-10,858.1666666666666,1586.7
2016-11-11,858.1666666666666,1586.7
2016-11-12,858.1666666666666,1586.7
2016-11-13,858.1666666666666,1586.7
2016-11-14,858.1666666666666,1586.7
2016-11-15,858.1666666666666,1586.7
2016-11-16,858.1666666666666,1586.7
2016-11-17,858.1666666666666,1586.7
2016-11-18,858.1666666666666,1586.7
2016-11-19,858.1666666666666,1586.7
2016-11-20,858.1666666666666,1586.7
2016-11-21,858.1666666666666,1586.7
2016-11-22,858.1666666666666,1586.7
2016-11-23,858.1666666666666,1586.7
2016-11-24,858.1666666666666,1586.7
2016-11-25,858.1666666666666,1586.7
2016-11-26,858.1666666666666,1586.7
2016-11-27,858.1666666666666,1586.7
2016-11-28,858.1666666666666,1586.7
2016-11-29,858.1666666666666,1586.7
2016-11-30,858.1666666666666,1586.7
2016-12-01,818.5806451612904,1494.032258064516
2016-12-02,818.5806451612904,1494.032258064516
2016-12-03,818.5806451612904,1494.032258064516
2016-12-04,818.5806451612904,1494.032258064516
2016-12-05,818.5806451612904,1494.032258064516
2016-12-06,818.5806451612904,1494.032258064516
2016-12-07,818.5806451612904,1494.032258064516
2016-12-08,818.5806451612904,1494.032258064516
2016-12-09,818.5806451612904,1494.032258064516
2016-12-10,818.5806451612904,1494.032258064516
2016-12-11,818.5806451612904,1494.032258064516
2016-12-12,818.5806451612904,1494.032258064516
2016-12-13,818.5806451612904,1494.032258064516
2016-12-14,818.5806451612904,1494.032258064516
2016-12-15,818.5806451612904,1494.032258064516
2016-12-16,818.5806451612904,1494.032258064516
2016-12-17,818.5806451612904,1494.032258064516
2016-12-18,818.5806451612904,1494.032258064516
2016-12-19,818.5806451612904,1494.032258064516
2016-12-20,818.5806451612904,1494.032258064516
2016-12-21,818.5806451612904,1494.032258064516
2016-12-22,818.5806451612904,1494.032258064516
2016-12-23,818.5806451612904,1494.032258064516
2016-12-24,818.5806451612904,1494.032258064516
